,company name,location,datum,detail,status rocket,rocket,status mission,dates,times,country,launch_location,long,lat
0,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-08-07 05:12:00+00:00,Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,50.0 ,Success,2020-08-07,05:12:00,USA,"Kennedy Space Center, Florida, USA",-80.64898079999999,28.5728722
1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-08-06 04:01:00+00:00,Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75 ,Success,2020-08-06,04:01:00,China,"Jiuquan Satellite Launch Center, China",100.208695,40.984524
2,SpaceX,"Pad A, Boca Chica, Texas, USA",2020-08-04 23:57:00+00:00,Starship Prototype | 150 Meter Hop,StatusActive,450.0 ,Success,2020-08-04,23:57:00,USA,"Boca Chica, Texas, USA",-97.1821942,25.9920246
3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2020-07-30 21:25:00+00:00,Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65.0 ,Success,2020-07-30,21:25:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-07-30 11:50:00+00:00,Atlas V 541 | Perseverance,StatusActive,145.0 ,Success,2020-07-30,11:50:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
5,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-07-25 03:13:00+00:00,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68 ,Success,2020-07-25,03:13:00,China,"Taiyuan Satellite Launch Center, China",111.607983,38.8485775
6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-07-23 14:26:00+00:00,Soyuz 2.1a | Progress MS-15,StatusActive,48.5 ,Success,2020-07-23,14:26:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
7,CASC,"LC-101, Wenchang Satellite Launch Center, China",2020-07-23 04:41:00+00:00,Long March 5 | Tianwen-1,StatusActive,450.0 ,Success,2020-07-23,04:41:00,China,"Wenchang Satellite Launch Center, China",110.797759,19.543278
8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-07-20 21:30:00+00:00,Falcon 9 Block 5 | ANASIS-II,StatusActive,50.0 ,Success,2020-07-20,21:30:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
9,JAXA,"LA-Y1, Tanegashima Space Center, Japan",2020-07-19 21:58:00+00:00,H-IIA 202 | Hope Mars Mission,StatusActive,90.0 ,Success,2020-07-19,21:58:00,Japan,"Tanegashima Space Center, Japan",130.9576461,30.374865
10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2020-07-15 13:46:00+00:00,Minotaur IV | NROL-129,StatusActive,46.0 ,Success,2020-07-15,13:46:00,USA,"Wallops Flight Facility, Virginia, USA",-75.4722501,37.9330524
11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-07-10 04:17:00+00:00,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3 ,Failure,2020-07-10,04:17:00,China,"Jiuquan Satellite Launch Center, China",100.208695,40.984524
12,CASC,"LC-3, Xichang Satellite Launch Center, China",2020-07-09 12:11:00+00:00,Long March 3B/E | Apstar-6D,StatusActive,29.15 ,Success,2020-07-09,12:11:00,China,"Xichang Satellite Launch Center, China",102.244872,27.893082
13,IAI,"Pad 1, Palmachim Airbase, Israel",2020-07-06 01:00:00+00:00,Shavit-2 | Ofek-16,StatusActive,450.0 ,Success,2020-07-06,01:00:00,Israel," Palmachim Airbase, Israel",34.7136094,31.9258249
14,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-07-04 23:44:00+00:00,Long March 2D | Shiyan-6 02,StatusActive,29.75 ,Success,2020-07-04,23:44:00,China,"Jiuquan Satellite Launch Center, China",100.208695,40.984524
15,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-07-04 21:19:00+00:00,Electron/Curie | Pics Or It Didn??¦t Happen,StatusActive,7.5 ,Failure,2020-07-04,21:19:00,Zealand,,,
16,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-07-03 03:10:00+00:00,Long March 4B | Gaofen Duomo & BY-02,StatusActive,64.68 ,Success,2020-07-03,03:10:00,China,"Taiyuan Satellite Launch Center, China",111.607983,38.8485775
17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-30 20:10:00+00:00,Falcon 9 Block 5 | GPS III SV03,StatusActive,50.0 ,Success,2020-06-30,20:10:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
18,CASC,"LC-2, Xichang Satellite Launch Center, China",2020-06-23 01:43:00+00:00,Long March 3B/E | Beidou-3 G3,StatusActive,29.15 ,Success,2020-06-23,01:43:00,China,"Xichang Satellite Launch Center, China",102.244872,27.893082
19,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-06-17 07:19:00+00:00,"Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5",StatusActive,29.75 ,Success,2020-06-17,07:19:00,China,"Jiuquan Satellite Launch Center, China",100.208695,40.984524
20,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-13 09:21:00+00:00,Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18,StatusActive,50.0 ,Success,2020-06-13,09:21:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
21,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-06-13 05:12:00+00:00,Electron/Curie | Don't stop me now!,StatusActive,7.5 ,Success,2020-06-13,05:12:00,Zealand,,,
